AVALES,Aval,AVFI,Avales y Fianzas,E,Empresas,CD,CONTINGENTE DEUDOR,AVAL
CTAFIN,Carta Fianza,AVFI,Avales y Fianzas,E,Empresas,CD,CONTINGENTE DEUDOR,AVAL
CARCRD,Carta Credito,CCRD,Carta de Credito,E,Empresas,CD,CONTINGENTE DEUDOR,AVAL
ACEBAN,Aceptacion Bancaria,ACBN,Aceptacion Bancaria,E,Empresas,CD,CONTINGENTE DEUDOR,AVAL
CSTGOG,Credito Castigado Cobrandose,CSTG,Credito Castigado,Q,Castigo,CD,CONTINGENTE DEUDOR,LINEA
CSTGST,Credito Castigado,CSTG,Credito Castigado,Q,Castigo,CD,CONTINGENTE DEUDOR,LINEA
PRVCON,Provision Consumo,PROV,Provision,C,Consumo,C,CREDITO,SALDO
PRVMIC,Provision Micro Empresa,PROV,Provision,P,PYME,C,CREDITO,SALDO
PRVPEQ,Provision Pequeña Empresa,PROV,Provision,P,PYME,C,CREDITO,SALDO
PRVMED,Provision Mediana Empresa,PROV,Provision,P,PYME,C,CREDITO,SALDO
PRVEMP,Provision Empresas,PROV,Provision,E,Empresas,C,CREDITO,SALDO
PRVHIP,Provision Hipotecario,PROV,Provision,H,Hipotecario,C,CREDITO,SALDO
INTCON,Interes Consumo,INTR,Interes,C,Consumo,C,CREDITO,SALDO
INTMIC,Interes Micro Empresa,INTR,Interes,P,PYME,C,CREDITO,SALDO
INTPEQ,Interes Pequeña Empresa,INTR,Interes,P,PYME,C,CREDITO,SALDO
INTMED,Interes Mediana Empresa,INTR,Interes,P,PYME,C,CREDITO,SALDO
INTEMP,Interes Empresas,INTR,Interes,E,Empresas,C,CREDITO,SALDO
INTHIP,Interes Hipotecario,INTR,Interes,H,Hipotecario,C,CREDITO,SALDO
